time,x,y,z
14199,-0.24912,-1.08817,-1.02209
14250,-1.10861,-1.33435,-2.96525
14299,-1.27721,-0.80779,-2.38066
14349,-1.03652,-0.92507,-0.92496
14398,-0.90824,-0.18532,-0.14489
14449,-0.71032,-0.28061,-0.97078
14498,-0.48003,-0.33803,-0.99949
14549,0.14978,0.02604,-0.91091
14598,-0.26867,0.34369,-0.69100
14649,-0.35663,0.50496,-0.80707
14699,-0.43238,0.29788,-0.19315
14748,-0.18987,0.03276,-0.15588
14799,-0.20819,0.34186,0.75797
14848,0.47964,1.15798,0.81356
14898,0.02699,0.79268,1.48123
14958,-0.16360,-0.07536,2.46045
14999,-0.01760,0.37607,2.31568
15049,-0.14772,-0.04665,2.01757
15098,-0.16299,0.33697,2.36760
15149,-0.28333,0.96372,1.56370
15199,-0.86793,0.31682,2.26681
15250,-0.98338,0.64791,2.43846
15299,-0.59181,1.28198,1.44214
15349,-1.25460,0.56361,2.44151
15399,-1.99009,0.11340,1.62662
15450,-0.93085,-0.10835,1.90884
15499,-0.76530,0.28933,-0.23224
15548,-0.65290,-0.35758,0.40917
15598,-1.06707,-0.72471,0.76652
15649,-0.54600,0.46953,0.38168
15698,-0.18376,0.70288,-1.01965
15749,-1.62723,-1.27754,-1.67999
15799,-1.49834,-1.03686,-1.35807
15849,-1.27171,-0.83161,-1.26888
15899,-0.64740,-0.35514,-1.55721
15955,-0.71582,0.18853,-1.47902
15998,-0.79584,0.13722,-0.87915
16048,-0.85204,0.72793,-0.96100
16099,-1.07501,0.12562,-0.80768
16148,-0.73537,0.57582,-1.18397
16198,-0.67489,0.06392,-1.82294
16250,-0.55577,0.54833,-0.95123
16298,0.51629,0.76458,-1.52972
16349,0.87426,1.06757,-1.41427
16398,0.56211,0.19159,-0.15039
16449,0.91030,1.57764,0.71521
16498,-0.01821,0.21541,1.62601
16549,1.18764,0.37240,1.68710
16598,1.53888,0.14272,1.94794
16649,-0.01882,-0.25373,2.60400
16699,0.54623,-0.12484,3.89904
16748,-0.54967,0.75847,2.55208
16799,-0.32914,0.39440,2.83674
16848,-1.27232,-0.55550,2.28147
16898,-0.22285,0.32415,0.95467
16957,-1.47635,0.10362,0.02860
16998,-1.34562,-0.05948,0.42932
17050,-0.58387,0.22763,-0.24263
17101,-0.67917,-0.73876,-1.68855
17149,-1.37433,-1.24272,-1.88769
17199,-0.98216,-0.52251,-0.74231
17249,-0.53623,0.36813,-0.56455
17299,-0.41283,0.29116,-1.45214
17349,-0.46659,-0.02160,-0.99216
17399,-0.61381,0.09263,-1.14610
17450,-0.40550,-0.06803,-1.56576
17499,-0.54905,-0.17676,-0.81928
17550,-0.64863,-0.14194,-1.59020
17599,-0.99376,0.02482,-1.12838
17649,-0.18864,0.09080,-1.51262
17700,-0.10007,0.66745,-1.00682
17749,-0.18498,0.32842,-1.00499
17799,-0.28088,0.20075,-0.32570
17850,0.01661,0.23679,-0.45276
17899,0.21208,0.68456,-0.44299
17959,0.41733,0.82383,0.70971
17998,0.55600,0.72487,0.89175
18049,1.09051,0.70044,1.13487
18098,0.93290,0.42250,1.15503
18149,0.61892,0.05903,2.33583
18199,0.32387,0.90508,1.84592
18249,-0.02676,0.77374,3.32544
18300,-0.01271,0.88492,3.85628
18349,-0.51485,0.76825,3.79947
18398,-0.66817,-0.27206,2.94914
18449,-1.97848,-0.77724,2.60400
18498,-0.97116,-0.49563,0.24607
18549,-1.94855,-0.43455,-0.24935
18598,-1.04630,-0.74792,-0.05326
18648,-0.60403,0.16166,-0.98605
18699,-0.60586,0.44327,-0.82112
18748,-0.24057,0.04009,-1.24200
18799,-0.61991,0.08285,-1.06730
18849,-1.01576,-0.31360,-1.01904
18899,-1.21184,-0.50235,-0.73865
18968,-0.84288,-0.24213,-0.85471
19000,-0.94795,0.05292,-0.64580
19049,-0.96139,-0.43455,-0.26523
19098,-0.71949,-0.07353,-0.34831
19149,-0.21063,-0.12117,-0.46620
19199,-0.64863,0.58010,-0.41367
19249,-0.03348,0.11828,-0.87243
19298,-0.57105,0.21480,0.30837
19349,0.60548,0.29421,-0.29150
19398,0.10213,0.77985,-0.32937
19449,-0.11167,0.29177,0.03898
19498,0.35258,0.35897,0.67428
19548,0.64335,0.79635,0.41405
19599,0.81623,1.04436,0.94734
19648,-1.16297,-0.16149,2.36027
19699,1.03003,0.96494,2.15074
19749,-0.52706,0.61125,0.55516
19799,-1.68526,-0.35330,1.97481
19848,-0.61381,0.68578,0.86670
19898,-2.38226,-0.31054,1.02736
19960,-1.51728,-1.70820,1.10005
19998,-1.11410,-1.12055,0.52584
20048,-0.68039,-0.08330,0.16543
20099,-1.01820,-0.07292,1.42626
20149,0.02882,0.55078,1.70481
20199,0.24385,0.82750,2.09027
20248,-0.48614,0.26428,2.30040
20299,-0.16543,0.50130,1.34562
20349,-0.89725,-0.23052,1.73902
20398,-0.51240,-0.53840,-0.38618
20449,-0.96200,0.05353,-0.26951
20499,-0.39512,-0.06070,-1.52056
20548,-1.15809,-0.78396,0.12084
20599,-1.52277,-0.45532,0.45620
20648,-1.28454,-0.61475,-1.13266
20699,-1.14465,-1.45653,-1.10089
20749,-0.94856,-0.86093,-0.07953
20798,-0.67611,0.87759,-0.81928
20850,-1.19352,0.02055,-0.64824
20900,-1.22101,-0.46020,-0.27806
20952,-0.62480,-0.23480,-0.89259
20999,-0.19353,0.47198,-0.98910
21048,-0.53684,0.65096,-0.71849
21099,-0.69994,0.01994,-0.20842
21148,-0.60342,0.03460,-0.44116
21199,-0.28516,0.21236,-0.53096
21248,0.48025,0.18181,-0.72460
21299,0.65863,0.77130,-0.55906
21349,0.34037,0.11340,-0.56639
21398,-0.18620,-0.18348,-0.78080
21448,0.38252,1.26366,-0.49614
21499,0.52729,0.29727,0.17398
21548,0.72032,0.30154,0.31204
21599,1.31225,0.14883,0.46475
21648,0.68367,1.18608,0.63519
21699,0.03860,0.24473,1.50445
21750,0.16810,0.18426,1.78483
21799,0.34647,0.32048,1.43786
21850,-0.27539,0.71144,1.82821
21899,-0.61686,0.33331,2.66509
21961,-0.52645,0.35286,2.08660
21999,-0.50080,0.50924,1.77201
22050,0.06120,0.26367,1.19352
22099,-1.17275,-0.23846,2.41647
22150,-0.43177,-0.26961,0.26561
22198,-1.89968,-0.87071,1.03530
22249,-0.33159,-1.25738,0.43543
22299,-0.62053,0.33453,0.09701
22348,-0.30837,-1.30992,-1.03492
22399,-0.98949,-0.80473,0.68894
22448,-0.20453,-0.27084,-0.13817
22499,-0.83311,-0.36308,-1.55415
22548,0.00928,0.73343,-0.68917
22599,0.27561,-0.30993,-1.74474
22649,-0.34197,-0.11445,-1.82049
22699,-0.64557,0.32415,-1.60608
22749,-1.05241,-0.47609,-1.39166
22798,-0.94489,-0.11018,-1.28965
22848,-0.82639,-0.30382,-0.43810
22899,-1.15137,-0.23480,0.10618
22970,-0.11962,0.75603,0.16910
22998,0.56639,0.96372,-0.18521
23048,0.25851,0.72732,0.62358
23098,0.21392,0.34186,-0.07830
23149,0.23041,0.49458,0.01210
23199,0.17543,0.31987,-0.36480
23249,0.74903,0.11584,-0.53218
23299,0.34647,0.22519,-0.80768
23349,0.06670,0.51351,-0.41062
23398,0.02638,0.13478,-0.06303
23448,-0.44704,-0.11140,0.20636
23498,-0.44276,-0.08880,0.16910
23549,0.31654,0.36691,-0.14978
23598,0.29333,0.09935,0.04448
23649,0.33181,0.08652,0.00233
23698,0.83822,0.49702,0.38412
23749,0.93657,0.71021,0.75125
23798,1.11922,0.67417,1.19840
23848,-0.20208,0.21908,2.11592
23899,0.30494,0.03765,2.56735
23967,-0.06953,0.11767,0.93023
23998,-0.24118,-0.03077,1.58203
24049,-1.11105,-0.07964,-0.55356
24098,-0.84410,-0.34719,-0.22247
24148,-0.30165,0.75664,-0.40328
24199,-1.01942,0.36080,0.05609
24248,-1.42503,-0.80657,0.49102
24299,-0.92290,-1.51150,-1.41488
24349,-0.68955,-0.76075,-0.73437
24398,0.53034,-0.02588,-0.85349
24449,-0.41955,0.21114,-0.85777
24498,-1.22101,0.52268,0.17093
24549,-0.63885,0.54589,0.15688
24598,-0.69016,0.32964,-0.41611
24649,-0.97605,-0.25862,-0.92924
24699,-0.41405,-0.23663,-0.92619
24750,-0.54050,0.35897,-0.74048
24799,-0.06464,0.08041,-0.74354
24849,-0.28088,-0.01611,-0.58105
24899,-0.23812,-0.11445,-0.69894
24953,-0.42016,-0.51885,-0.59326
24998,0.38252,0.48603,0.11290
25049,1.20474,0.33881,-1.00071
25098,0.93352,0.92035,-0.12412
25150,1.51506,0.57277,0.12206
25199,1.26949,0.18243,0.17887
25249,0.84922,0.49397,0.86121
25299,0.98300,0.35225,0.28516
25348,0.97933,0.38340,0.88808
25398,0.92741,0.10240,0.97361
25448,0.62320,0.37302,1.26438
25499,0.29822,0.21908,1.46596
25549,0.42650,0.27100,1.56859
25599,0.38923,0.32292,1.21306
25650,0.19193,-0.41867,1.60158
25699,-0.20514,-0.34292,1.07318
25750,0.31165,0.00100,0.79829
25798,0.62014,-0.17860,0.33403
25849,-0.71277,-0.31604,0.12572
25899,0.02699,-0.00144,0.11962
25953,-0.05731,0.00589,-1.20963
25998,-0.15810,0.00466,-1.24017
26049,-0.75492,-0.73326,-0.78080
26099,-0.43360,-0.70638,-1.37823
26150,-0.26317,0.14822,-1.13938
26198,-0.85082,-0.14133,-1.64640
26249,-0.83860,-1.09978,-1.11494
26299,-0.68894,-0.01244,-0.66473
26349,-0.90885,0.39684,-1.15221
26399,-0.65596,0.01627,-0.82967
26449,-0.51973,0.70899,-0.46804
26499,-0.52401,-0.11690,0.16787
26549,-0.41589,0.48908,0.32242
26599,0.19620,1.09139,-0.20231
26649,-0.03043,0.64363,0.27539
26699,0.26523,0.57399,-0.40939
26749,0.97750,0.30093,-0.68306
26798,0.97505,0.47625,-1.63784
26849,0.31593,0.44510,-0.83639
26898,0.43077,0.60392,-0.49797
26953,0.07769,-0.03443,-0.63847
26998,0.04837,-0.18287,-0.52118
27049,0.82051,0.42555,-0.30249
27098,0.93290,0.42066,-0.44605
27148,0.38068,0.48786,0.13489
27198,0.44177,0.24229,0.59915
27248,1.06058,0.19525,0.79523
27298,1.15098,0.09019,1.23017
27348,1.24567,0.01932,1.27171
27398,0.19681,0.10240,1.57592
27449,0.26279,0.27100,1.85569
27498,0.54867,0.31010,1.61807
27549,0.73193,0.48786,1.26743
27599,0.21941,0.74931,0.45193
27648,0.14428,-0.29955,1.79827
27699,-0.98704,-0.80107,1.20146
27749,-0.74331,-0.52435,1.57592
27798,-0.89847,0.11828,0.28394
27849,-1.41648,-0.30443,0.30226
27899,-1.35540,-0.24335,-0.22858
27960,-0.95039,0.70227,-0.49125
27999,-0.52340,0.89897,-0.54623
28048,-1.50017,-0.46265,-1.58531
28099,-1.16114,-1.79250,-1.74230
28149,-0.65534,-0.73815,-1.74963
28198,-0.16177,0.56666,-1.89624
28249,-0.81967,-0.18532,-1.54438
28299,-0.64557,-0.45532,-0.91030
28349,-0.47942,-0.20120,-0.66473
28399,-0.86365,-0.29649,-0.80768
28450,-0.05731,-0.54145,-0.96284
28498,-1.09639,0.31865,-1.14488
28548,-1.56737,0.95456,-0.87487
28600,-0.61258,0.50435,1.16481
28651,0.03799,0.35591,0.39756
28699,-0.11595,0.27467,0.05731
28749,0.17360,0.33209,0.70666
28798,0.15161,0.16288,1.20390
28849,-0.36946,-0.26106,1.27904
28899,-0.17887,-0.34719,1.47818
28956,-0.20880,-0.44677,1.12205
28999,-0.06891,-0.91347,1.68160
29048,0.20964,0.09324,1.19291
29099,-0.28394,-0.51457,1.57164
29149,-0.98399,-0.61475,1.70603
29198,-0.56249,0.20930,0.89236
29250,-0.62663,0.24290,0.66573
29299,-0.62786,-0.25984,1.28270
