time,x,y,z
13649,-4.06548,-1.29770,4.67841
13699,-3.64887,-0.32083,3.77577
13749,-5.27938,1.34079,2.60737
13799,-7.30972,2.63370,3.53395
13849,-5.84921,6.03836,6.57707
13898,-3.47409,7.60182,4.32885
13954,-5.70077,5.92583,0.33280
13999,-5.50923,5.94259,-0.01915
14049,-5.84203,0.13408,3.68958
14098,-10.60903,-2.34160,9.34485
14149,-5.16445,-6.07188,7.69041
14198,-6.27300,-6.68960,6.13892
14249,-10.57551,-5.89949,8.20039
14299,-12.22756,-5.11896,7.76224
14349,-9.58428,-3.64409,6.34722
14398,-6.76622,-3.46212,7.34563
14449,-7.02480,-3.90746,9.21556
14498,-9.76146,-3.57465,10.19482
14549,-10.92986,-3.33283,10.07511
14598,-10.39115,-4.01999,9.55795
14649,-8.69840,-1.22347,7.88914
14699,-8.41348,-0.60096,8.76305
14748,-10.57551,-1.04869,8.46855
14799,-9.34246,0.50998,8.87797
14848,-8.23152,0.01676,6.46694
14898,-6.42144,-0.23943,3.32086
14958,-6.62256,0.42858,5.13811
14999,-3.79971,-0.79490,4.04154
15048,-8.31292,-0.60336,3.86197
15098,-8.73910,0.25140,4.86756
15149,-8.05674,1.14446,3.10777
15199,-9.69681,2.33921,3.00960
15250,-9.79498,4.60898,5.69837
15299,-6.17005,4.72151,1.51318
15349,-7.69520,3.29213,-1.40305
15399,-3.86436,3.95534,0.76856
15449,-6.47172,4.03914,6.04315
15499,-4.23308,1.24742,1.58501
15548,-8.89234,-1.03193,4.86756
15598,-8.82530,-2.95214,5.36796
15649,-6.33046,-3.93379,8.64812
15698,-6.88833,-4.55152,6.13174
15749,-9.37119,-3.65845,6.98649
15799,-10.25707,-4.16843,8.39672
15849,-9.81413,-3.56029,9.53400
15898,-10.16609,-3.15326,10.16130
15955,-8.76305,-2.76778,7.93942
15998,-8.28898,-1.06785,8.98092
16048,-8.05195,-1.54910,7.94660
16099,-5.59063,-0.84997,7.92266
16148,-7.57549,-1.02714,8.26982
16198,-9.23951,-3.04552,6.55552
16250,-10.10145,-1.60416,10.83170
16298,-9.40471,-3.10777,8.65051
16349,-9.70400,-4.49166,8.32489
16398,-11.04479,-2.83243,8.00646
16449,-8.59784,-3.49325,5.39909
16498,-5.38712,-0.98405,4.96094
16549,-7.28338,3.57465,8.28658
16598,-7.10860,1.81725,2.52357
16649,-10.29299,1.49163,1.77416
16699,-10.06314,1.11573,1.92260
16748,-7.07987,1.46769,0.84039
16799,-4.32885,1.98485,1.57304
16848,-11.38238,-0.09817,5.97132
16898,-2.92341,-0.89546,6.07188
16957,-9.12698,-2.25541,7.37916
16998,-9.32331,-2.41103,8.26982
17049,-4.70236,-3.47170,6.73270
17101,-5.74626,-3.46930,6.25385
17149,-9.63217,-3.01918,7.31930
17199,-8.81093,-1.62332,7.05832
17249,-4.27378,-2.04471,6.73749
17298,-5.51641,-2.98327,6.11737
17349,-8.01124,-4.43899,7.06072
17399,-7.22592,-4.30251,8.84206
17449,-9.75667,-5.39191,8.83966
17499,-9.92666,-5.77739,9.81413
17550,-8.57869,-4.18998,6.71115
17599,-9.00726,-2.85398,8.94262
17649,-9.84047,-4.49884,8.08786
17700,-8.40151,-3.91943,7.23789
17749,-8.72474,-2.75102,4.51800
17799,-7.58027,-2.10457,7.34324
17850,-9.62738,-2.47089,6.37595
17899,-7.60901,-1.86275,7.67126
17959,-9.31133,-2.29850,7.99688
17998,-8.25546,-2.54033,7.88674
18049,-6.88833,-3.98407,6.55792
18098,-5.88752,-3.48367,3.34480
18149,-8.69840,-1.77895,5.60500
18199,-10.09187,1.26418,3.02876
18249,-9.90033,1.93218,4.58264
18299,-5.63612,1.40305,1.85796
18349,-4.91545,0.86194,2.96411
18398,-0.21788,0.53632,0.01915
18449,-5.46852,1.92021,2.94735
18498,-3.17241,1.01757,3.96252
18549,-9.58668,-0.68716,5.95935
18598,-6.70876,-2.03992,7.47971
18648,-9.85962,-1.36713,7.30014
18699,-6.48370,-3.05270,7.68802
18748,-7.71675,-3.54832,7.27860
18799,-8.02561,-3.56747,6.16286
18849,-7.62816,-3.06707,5.63133
18899,-7.55633,-2.79651,7.05353
18968,-8.26982,-2.58342,7.19958
18999,-8.58348,-2.61455,6.61538
19049,-8.17645,-1.80768,8.34405
19098,-9.11979,-3.26579,8.60263
19149,-9.11740,-5.47331,10.33848
19199,-8.89952,-2.77975,8.68643
19248,-7.79815,-2.26020,7.02241
19298,-9.28500,-2.95932,10.59227
19349,-6.18202,-2.76778,7.61619
19398,-9.23951,-1.71909,7.02720
19449,-8.56911,-1.50600,5.31768
19498,-8.14532,-1.18277,8.19560
19548,-8.49968,-1.77895,5.91865
19599,-5.76302,-2.28414,3.53874
19648,-7.93702,0.56505,7.70717
19699,-3.67042,2.94017,5.56908
19749,-8.65770,0.51477,-1.68557
19799,-14.28185,-1.24263,9.41668
19848,-4.44856,-3.23467,4.64489
19898,-8.06871,-5.69598,3.88591
19960,-5.57866,-1.67839,7.84843
19998,-5.46613,-0.57702,8.06631
20048,-10.30256,3.57465,1.02714
20099,-9.15092,6.20117,1.29291
20149,-7.98251,6.33525,3.80450
20199,-5.91865,2.94975,-1.26657
20248,-7.71435,2.73666,3.84281
20299,-5.21234,2.29850,1.35516
20349,-7.68083,2.54990,4.49166
20398,-4.41265,-0.32323,4.34800
20449,-11.45182,-0.36393,7.74069
20499,-7.60182,-1.49403,5.84442
20548,-9.77343,-5.38472,5.42543
20599,-5.86118,-4.30012,7.54915
20648,-5.84442,-1.91063,6.17483
20699,-9.18444,-3.81647,6.46933
20749,-7.99688,-3.25382,7.05114
20798,-5.61697,-2.58103,5.63612
20850,-7.45577,-3.29452,6.51961
20899,-7.45098,-3.25143,8.07828
20952,-8.93064,-6.30652,10.31214
20998,-10.15651,-5.61218,8.22194
