time,x,y,z
20648,18.90000,-6.00000,-44.64000
20699,18.18000,-1.74000,-45.24000
20749,15.00000,0.90000,-46.26000
20798,13.38000,2.88000,-45.84000
20850,13.92000,5.22000,-45.66000
20900,14.82000,8.16000,-45.12000
20952,13.44000,10.80000,-44.64000
20999,11.88000,13.56000,-43.92000
21048,12.24000,13.80000,-44.04000
21099,12.84000,15.90000,-42.66000
21148,12.72000,17.70000,-42.36000
21199,12.96000,18.66000,-41.22000
21248,12.30000,19.02000,-41.70000
21299,12.18000,18.84000,-41.52000
21349,13.20000,17.88000,-41.34000
21398,12.24000,17.82000,-42.72000
21448,11.94000,18.66000,-42.42000
21499,13.92000,18.30000,-42.06000
21548,15.30000,16.74000,-42.78000
21599,15.78000,14.76000,-42.96000
21648,16.62000,11.58000,-42.78000
21699,19.32000,9.60000,-42.66000
21750,20.88000,8.76000,-42.60000
21799,21.18000,6.66000,-42.36000
21850,22.92000,4.38000,-42.78000
21899,25.14000,2.10000,-41.16000
21961,25.92000,0.90000,-40.56000
21999,26.16000,0.78000,-40.38000
22050,27.42000,-1.98000,-40.26000
22099,27.96000,-3.06000,-39.84000
22150,26.16000,-3.84000,-40.26000
22198,25.50000,-3.54000,-41.52000
22249,22.92000,-0.36000,-41.64000
22299,21.30000,-0.06000,-44.04000
22348,20.94000,0.06000,-42.42000
22399,18.12000,2.94000,-43.68000
22448,16.68000,3.18000,-44.10000
22499,16.56000,4.50000,-44.28000
22548,15.18000,7.74000,-44.64000
22599,16.44000,7.68000,-44.52000
22649,14.88000,9.06000,-44.46000
22699,13.80000,10.02000,-43.80000
22749,13.38000,13.14000,-43.14000
22798,11.04000,15.84000,-43.20000
22848,9.60000,18.84000,-42.36000
22899,9.18000,20.04000,-41.94000
22970,9.30000,22.44000,-40.44000
22998,9.36000,22.74000,-40.08000
23048,11.46000,21.06000,-40.20000
23098,13.26000,20.10000,-40.38000
23149,15.36000,20.16000,-40.98000
23199,15.30000,19.56000,-40.62000
23249,15.84000,19.32000,-40.56000
23299,15.84000,18.36000,-40.92000
23349,15.48000,18.84000,-41.40000
23398,16.62000,18.54000,-40.62000
23448,16.20000,19.62000,-40.56000
23498,16.32000,19.74000,-40.62000
23549,16.14000,19.86000,-39.66000
23598,16.92000,20.04000,-39.78000
23649,16.44000,18.48000,-40.02000
23698,17.64000,18.30000,-40.98000
23749,19.02000,15.96000,-41.10000
23798,18.96000,15.72000,-40.74000
23848,22.98000,9.90000,-41.16000
23899,24.78000,8.16000,-41.70000
23967,25.74000,4.92000,-41.22000
23998,25.56000,3.18000,-40.92000
24049,23.40000,3.12000,-41.88000
24098,22.44000,4.62000,-42.84000
24148,22.68000,6.84000,-42.84000
24199,23.52000,8.10000,-40.68000
24248,23.22000,10.56000,-40.20000
24299,21.66000,12.96000,-41.10000
24349,18.78000,16.02000,-42.06000
24398,15.90000,16.92000,-41.76000
24449,15.54000,17.04000,-41.22000
24498,14.82000,18.18000,-41.16000
24549,16.44000,20.46000,-40.14000
24598,17.04000,21.18000,-38.52000
24649,16.74000,23.52000,-38.52000
24699,15.24000,25.32000,-36.24000
24750,14.34000,27.54000,-36.00000
24799,13.80000,28.14000,-35.40000
24849,12.90000,28.98000,-34.26000
24899,11.52000,30.06000,-34.14000
